ID;StockRegularProduk;StockAReady;StockABelumReady;ScoreLayananStock;ScoreLayananSales;ScorePKBase;ScoreRetensi;AdaMatpro1;AdaMatpro2;AdaMatpro3;AdaMatpro4
75830;3;0;10;9;9;7;9;Tidak;Tidak;Tidak;Tidak
75836;0;0;0;10;10;7;10;Tidak;Tidak;Ya;Tidak
75841;3;0;0;6;6;5;5;Ya;Ya;Tidak;Tidak
75846;9;0;10;7;7;7;7;Ya;Ya;Ya;Ya
75858;1;14;0;8;8;7;7;Ya;Tidak;Tidak;Ya
75867;15;0;0;8;9;10;8;Ya;Ya;Tidak;Tidak
75872;9;0;0;9;8;8;8;Ya;Ya;Tidak;Ya
74800;1;0;40;10;10;10;10;Ya;Ya;Tidak;Tidak
74821;15;0;280;10;10;10;10;Ya;Ya;Ya;Tidak
74826;10;0;10;9;10;10;10;Ya;Ya;Tidak;Tidak
74836;0;0;15;10;10;9;9;Ya;Ya;Tidak;Tidak
74847;3;0;250;8;8;8;9;Ya;Ya;Ya;Tidak
74849;15;8;30;8;8;8;8;Ya;Ya;Tidak;Ya
75095;3;0;5;5;6;4;8;Tidak;Ya;Ya;Tidak
75096;10;0;40;8;7;8;8;Tidak;Ya;Tidak;Tidak
75098;10;0;5;8;8;8;7;Tidak;Ya;Ya;Tidak
75099;60;0;30;7;8;6;7;Tidak;Tidak;Tidak;Tidak
75852;0;0;380;8;8;9;7;Ya;Tidak;Tidak;Tidak
75853;25;20;0;10;10;10;9;Tidak;Ya;Ya;Tidak
75857;0;0;0;7;9;9;8;Tidak;Ya;Tidak;Tidak
75860;0;1;0;8;9;7;9;Tidak;Ya;Tidak;Tidak
75862;4;0;8;5;5;3;7;Tidak;Ya;Tidak;Tidak
75864;0;0;4;10;10;8;10;Ya;Tidak;Tidak;Tidak
76149;38;0;10;10;10;6;8;Ya;Ya;Tidak;Tidak
76150;0;0;0;8;8;8;9;Tidak;Ya;Tidak;Tidak
76154;4;4;0;8;8;9;8;Tidak;Ya;Tidak;Tidak
76184;6;0;2;8;9;8;9;Ya;Ya;Tidak;Tidak
76193;0;0;1;7;7;7;7;Tidak;Ya;Ya;Ya
76215;5;0;0;8;8;6;8;Ya;Ya;Tidak;Tidak
76224;2;0;3;6;2;1;1;Ya;Ya;Tidak;Ya
76389;28;0;4;8;10;1;2;Ya;Ya;Tidak;Tidak
76397;7;0;0;8;8;8;8;Tidak;Ya;Tidak;Tidak
76400;0;0;0;8;8;8;8;Tidak;Tidak;Tidak;Tidak
76411;7;0;0;10;10;9;10;Ya;Ya;Tidak;Tidak
76417;25;0;0;10;9;10;8;Ya;Ya;Tidak;Ya
76623;1;0;0;10;10;10;10;Ya;Ya;Tidak;Tidak
76639;5;0;5;5;5;7;7;Ya;Ya;Ya;Tidak
76701;25;0;10;7;7;6;7;Ya;Tidak;Tidak;Tidak
76746;15;0;0;8;7;8;6;Ya;Ya;Tidak;Ya
75294;0;23;0;8;8;7;7;Ya;Ya;Tidak;Tidak
75300;0;0;0;6;5;5;4;Ya;Tidak;Ya;Tidak
