IDRetailer;Category;StockProdRegular;StockProdA
265;Cat-A;0;14
266;Cat-A;5;7
267;Cat-A;9;6
268;Cat-A;13;72
269;Cat-A;11;33
270;Cat-A;10;18
271;Cat-A;6;15
272;Cat-A;4;0
273;Cat-A;0;0
274;Cat-A;12;0
275;Cat-A;1;4
276;Cat-A;24;0
277;Cat-A;0;0
278;Cat-A;5;0
279;Cat-A;9;0
280;Cat-A;0;0
281;Cat-A;5;0
282;Cat-A;12;0
283;Cat-A;15;0
284;Cat-A;8;0
285;Cat-A;5;0
286;Cat-A;20;0
287;Cat-A;9;0
288;Cat-A;7;0
289;Cat-A;17;0
290;Cat-A;0;0
291;Cat-A;16;0
292;Cat-A;0;0
293;Cat-A;14;0
294;Cat-A;0;0
295;Cat-A;0;0
296;Cat-A;10;0
297;Cat-A;0;0
298;Cat-A;0;0
299;Cat-A;21;0
300;Cat-A;8;0
301;Cat-A;3;0
302;Cat-A;9;0
303;Cat-A;4;0
304;Cat-A;14;24
305;Cat-A;10;7
306;Cat-A;8;14
307;Cat-A;9;5
308;Cat-A;8;5
309;Cat-A;0;58
310;Cat-A;0;24
311;Cat-A;0;0
312;Cat-A;1;9
313;Cat-A;8;58
314;Cat-A;0;0
315;Cat-A;35;32
316;Cat-A;20;11
317;Cat-A;12;20
318;Cat-A;10;32
319;Cat-A;7;25
320;Cat-A;4;20
321;Cat-A;0;5
322;Cat-A;3;16
323;Cat-A;5;26
324;Cat-A;0;50
325;Cat-A;4;10
326;Cat-A;11;29
327;Cat-A;2;60
328;Cat-A;9;35
329;Cat-A;8;35
330;Cat-A;5;40
331;Cat-A;0;0
332;Cat-A;2;30
333;Cat-A;9;30
334;Cat-A;9;22
335;Cat-A;17;65
336;Cat-A;41;0
337;Cat-A;1;0
338;Cat-A;6;0
339;Cat-A;46;0
340;Cat-A;8;0
341;Cat-A;7;0
342;Cat-A;10;0
343;Cat-A;5;0
344;Cat-A;12;0
345;Cat-A;4;0
346;Cat-A;12;0
347;Cat-A;0;0
348;Cat-A;9;0
349;Cat-A;7;0
350;Cat-A;4;0
351;Cat-A;9;0
352;Cat-A;28;0
353;Cat-A;9;0
354;Cat-A;0;0
355;Cat-A;9;0
356;Cat-A;5;0
357;Cat-A;0;0
358;Cat-A;0;0
359;Cat-A;0;0
360;Cat-A;0;0
361;Cat-A;6;0
362;Cat-A;4;0
363;Cat-A;12;0
364;Cat-A;11;0
365;Cat-A;5;0
366;Cat-A;0;0
367;Cat-A;4;0
368;Cat-A;12;0
369;Cat-A;11;0
370;Cat-A;5;15
371;Cat-A;10;0
372;Cat-A;12;3
373;Cat-A;6;5
374;Cat-A;8;0
375;Cat-A;9;6
376;Cat-A;2;0
377;Cat-A;5;4
378;Cat-A;4;0
379;Cat-A;10;0
380;Cat-A;6;0
381;Cat-A;7;0
382;Cat-A;4;0
383;Cat-A;14;0
384;Cat-A;5;0
385;Cat-A;4;0
386;Cat-A;13;0
387;Cat-A;11;3
388;Cat-A;4;0
389;Cat-A;12;0
390;Cat-A;0;0
391;Cat-A;1;0
392;Cat-A;0;0
393;Cat-A;2;0
394;Cat-A;0;0
395;Cat-A;13;0
396;Cat-A;12;0
397;Cat-A;5;0
398;Cat-A;2;2
399;Cat-A;10;0
400;Cat-A;0;0
401;Cat-A;10;0
402;Cat-A;10;2
403;Cat-A;10;4
404;Cat-A;0;0
405;Cat-A;50;0
406;Cat-A;10;0
407;Cat-A;4;0
408;Cat-A;1;0
409;Cat-A;5;0
410;Cat-A;5;0
411;Cat-A;6;0
412;Cat-A;49;9
413;Cat-A;0;0
414;Cat-A;7;0
415;Cat-A;8;0
416;Cat-A;8;0
417;Cat-A;4;9
418;Cat-A;12;0
419;Cat-A;7;9
420;Cat-A;7;0
421;Cat-A;12;0
422;Cat-A;3;0
423;Cat-A;30;20
424;Cat-A;0;5
425;Cat-A;1;5
426;Cat-A;13;0
427;Cat-A;23;12
428;Cat-A;43;23
429;Cat-A;9;12
430;Cat-A;23;13
431;Cat-A;0;0
432;Cat-A;6;0
433;Cat-A;0;0
434;Cat-A;35;49
435;Cat-A;3;0
436;Cat-A;23;16
437;Cat-A;16;13
438;Cat-A;35;0
439;Cat-A;23;13
440;Cat-A;8;0
441;Cat-A;12;0
442;Cat-A;0;0
443;Cat-A;35;19
444;Cat-A;9;0
445;Cat-A;13;0
446;Cat-A;3;6
447;Cat-A;13;9
448;Cat-A;15;12
449;Cat-A;5;0
450;Cat-A;9;6
451;Cat-A;0;0
452;Cat-A;13;0
453;Cat-A;2;0
454;Cat-A;0;0
455;Cat-A;0;0
456;Cat-A;56;0
457;Cat-A;76;0
458;Cat-A;15;0
459;Cat-A;0;0
460;Cat-A;12;0
461;Cat-A;13;0
462;Cat-A;10;11
463;Cat-A;8;0
464;Cat-A;0;0
465;Cat-A;9;0
466;Cat-A;0;0
467;Cat-A;12;0
468;Cat-A;0;0
469;Cat-A;12;0
470;Cat-A;0;0
471;Cat-A;0;0
472;Cat-A;35;0
473;Cat-A;0;0
474;Cat-A;30;0
475;Cat-A;21;0
476;Cat-A;0;0
477;Cat-A;0;0
478;Cat-A;6;0
479;Cat-A;5;4
480;Cat-A;26;0
481;Cat-A;0;0
482;Cat-A;26;0
483;Cat-A;0;0
484;Cat-A;0;0
485;Cat-A;10;0
486;Cat-A;0;0
487;Cat-A;4;0
488;Cat-A;0;0
489;Cat-A;8;0
490;Cat-A;50;0
491;Cat-A;25;0
492;Cat-A;1;0
493;Cat-A;10;0
494;Cat-A;100;0
495;Cat-A;10;0
496;Cat-A;5;0
497;Cat-A;25;0
498;Cat-A;20;0
499;Cat-A;4;0
500;Cat-A;20;0
501;Cat-A;0;0
502;Cat-A;0;0
503;Cat-A;3;0
504;Cat-A;5;0
505;Cat-A;0;0
506;Cat-A;0;0
507;Cat-A;0;0
508;Cat-A;0;0
509;Cat-A;0;0
510;Cat-A;0;0
511;Cat-A;14;0
512;Cat-A;5;0
513;Cat-A;30;5
514;Cat-A;2;2
515;Cat-A;10;0
516;Cat-A;6;0
517;Cat-A;0;0
518;Cat-A;0;0
519;Cat-A;6;0
520;Cat-A;10;0
521;Cat-A;33;0
522;Cat-A;20;0
523;Cat-A;10;0
524;Cat-A;15;0
525;Cat-A;20;0
526;Cat-A;10;0
527;Cat-A;15;0
528;Cat-A;30;0
529;Cat-A;10;0
530;Cat-A;30;0
531;Cat-A;5;0
532;Cat-A;10;0
533;Cat-A;5;0
534;Cat-A;13;0
535;Cat-A;10;0
536;Cat-A;20;0
537;Cat-A;11;0
538;Cat-A;5;0
539;Cat-A;30;0
540;Cat-A;10;0
541;Cat-A;13;0
542;Cat-A;30;0
543;Cat-A;9;0
544;Cat-A;3;5
545;Cat-A;20;20
546;Cat-A;15;15
547;Cat-A;12;15
548;Cat-A;23;0
549;Cat-A;6;0
550;Cat-A;3;0
551;Cat-A;23;0
552;Cat-A;9;0
553;Cat-A;5;4
554;Cat-A;23;0
555;Cat-A;11;0
556;Cat-A;16;0
557;Cat-A;16;0
558;Cat-A;2;2
559;Cat-A;7;0
560;Cat-A;5;0
561;Cat-A;0;0
562;Cat-A;6;0
563;Cat-A;0;0
564;Cat-A;0;0
565;Cat-A;8;0
566;Cat-A;0;0
567;Cat-A;11;0
568;Cat-A;24;0
569;Cat-A;8;0
570;Cat-A;10;0
571;Cat-A;8;0
572;Cat-A;1;0
573;Cat-A;7;0
574;Cat-A;8;0
575;Cat-A;4;0
576;Cat-A;9;0
577;Cat-A;4;23
578;Cat-A;0;0
579;Cat-A;6;0
580;Cat-A;6;0
581;Cat-A;10;0
582;Cat-A;10;0
583;Cat-A;3;0
584;Cat-A;8;0
585;Cat-A;7;0
586;Cat-A;12;0
587;Cat-A;40;25
588;Cat-A;6;0
589;Cat-A;5;0
590;Cat-A;15;0
591;Cat-A;11;2
592;Cat-A;17;0
593;Cat-A;30;0
594;Cat-A;0;0
595;Cat-A;0;0
596;Cat-A;0;0
597;Cat-A;0;0
598;Cat-A;30;0
599;Cat-A;0;0
600;Cat-A;5;0
601;Cat-A;9;0
602;Cat-A;5;0
603;Cat-A;4;0
604;Cat-A;0;0
605;Cat-A;0;0
606;Cat-A;0;0
607;Cat-A;21;0
608;Cat-A;5;0
609;Cat-A;10;0
610;Cat-A;20;0
611;Cat-A;10;0
612;Cat-A;20;0
613;Cat-A;15;0
614;Cat-A;13;0
615;Cat-A;20;0
616;Cat-A;20;0
617;Cat-A;10;0
618;Cat-A;18;0
619;Cat-A;20;0
620;Cat-A;30;0
621;Cat-A;10;0
622;Cat-A;20;0
623;Cat-A;5;0
624;Cat-A;10;0
625;Cat-A;33;0
626;Cat-A;10;0
627;Cat-A;13;0
628;Cat-A;20;0
629;Cat-A;20;0
630;Cat-A;0;0
